ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466374983980,kosta,MERGE,Kosta kollekció,Tekintse meg Kosta kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:30 +0200,TRUE,2023-12-05 14:34:51 +0100,web,,,,,5009,TRUE,any condition,Tag,Equals,kosta,,,,0,,,Urban Home - Kosta kollekció
466375016748,sayana,MERGE,Sayana kollekció,Tekintse meg Sayana kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:30 +0200,TRUE,2023-12-05 14:34:52 +0100,web,,,,,5010,TRUE,any condition,Tag,Equals,sayana,8896475824428,sayana-basket,,1,,,Urban Home - Sayana kollekció
466375049516,kirb,MERGE,Kirb kollekció,Tekintse meg Kirb kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:30 +0200,TRUE,2023-12-05 14:34:53 +0100,web,,,,,5011,TRUE,any condition,Tag,Equals,kirb,8896505938220,white-kirb-coffee-table-90-cm,,3,,,Urban Home - Kirb kollekció
466375082284,magan,MERGE,Magan kollekció,Tekintse meg Magan kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:30 +0200,TRUE,2023-12-05 14:34:54 +0100,web,,,,,5014,TRUE,any condition,Tag,Equals,magan,8896406880556,magan-large-beige-travertine-candle-holder,,1,,,Urban Home - Magan kollekció
466375115052,nami,MERGE,Nami kollekció,Tekintse meg Nami kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:30 +0200,TRUE,2023-12-05 14:34:54 +0100,web,,,,,5015,TRUE,any condition,Tag,Equals,nami,8896432603436,nami-100-organic-gots-cotton-pastel-bunting,,1,,,Urban Home - Nami kollekció
466375147820,montalt,MERGE,Montalt kollekció,Tekintse meg Montalt kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:30 +0200,TRUE,2023-12-05 14:34:55 +0100,web,,,,,5016,TRUE,any condition,Tag,Equals,montalt,8896427196716,montalt-set-two-100-linen-tablecloths-with-beige-fringes-and-black-contrast-stitching,,4,,,Urban Home - Montalt kollekció
466375180588,ciana,MERGE,Ciana kollekció,Tekintse meg Ciana kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:30 +0200,TRUE,2023-12-05 14:34:55 +0100,web,,,,,5020,TRUE,any condition,Tag,Equals,ciana,,,,0,,,Urban Home - Ciana kollekció
466375213356,sarit,MERGE,Sarit kollekció,Tekintse meg Sarit kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:30 +0200,TRUE,2023-12-05 14:34:56 +0100,web,,,,,5021,TRUE,any condition,Tag,Equals,sarit,8896475496748,sarit-100-cotton-pink-floor-cushion-60-x-60-cm,,1,,,Urban Home - Sarit kollekció
466375246124,talbot,MERGE,Talbot kollekció,Tekintse meg Talbot kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:30 +0200,TRUE,2023-12-05 14:34:56 +0100,web,,,,,5022,TRUE,any condition,Tag,Equals,talbot,8896487260460,talbot-melamine-desk-with-natural-finish-and-legs-in-a-black-finish-120-x-60-cm,,2,,,Urban Home - Talbot kollekció
466375278892,nikos,MERGE,Nikos kollekció,Tekintse meg Nikos kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:30 +0200,TRUE,2023-12-05 14:34:58 +0100,web,,,,,5024,TRUE,any condition,Tag,Equals,nikos,8896439714092,nikos-tall-bed-base-in-grey-with-solid-beech-wood-legs-for-a-90-x-190-cm-mattress,,15,,,Urban Home - Nikos kollekció
