ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466384159020,cordelia,MERGE,Cordelia kollekció,Tekintse meg Cordelia kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:38:02 +0100,web,,,,,5580,TRUE,any condition,Tag,Equals,cordelia,,,,0,,,Urban Home - Cordelia kollekció
466384191788,waira,MERGE,Waira kollekció,Tekintse meg Waira kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:38:03 +0100,web,,,,,5581,TRUE,any condition,Tag,Equals,waira,8896504955180,waira-ratan-hanging-wall-basket-with-a-natural-finish,,1,,,Urban Home - Waira kollekció
466384224556,lucilla,MERGE,Lucilla kollekció,Tekintse meg Lucilla kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:38:03 +0100,web,,,,,5582,TRUE,any condition,Tag,Equals,lucilla,8896401735980,lucilla-wall-lamp-black,,2,,,Urban Home - Lucilla kollekció
466384257324,hiara,MERGE,Hiara kollekció,Tekintse meg Hiara kollekciónk összes darabját!,Best Selling,,2025-09-01 00:05:50 +0200,TRUE,2023-12-05 14:38:04 +0100,web,,,,,5584,TRUE,any condition,Tag,Equals,hiara,8896381059372,hiara-terrazzo-soap-dish,,2,,,Urban Home - Hiara kollekció
466384290092,uxia,MERGE,Uxia kollekció,Tekintse meg Uxia kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:38:05 +0100,web,,,,,5586,TRUE,any condition,Tag,Equals,uxia,,,,0,,,Urban Home - Uxia kollekció
466384322860,poob,MERGE,Poob kollekció,Tekintse meg Poob kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:38:05 +0100,web,,,,,5587,TRUE,any condition,Tag,Equals,poob,,,,0,,,Urban Home - Poob kollekció
466384355628,temis,MERGE,Temis kollekció,Tekintse meg Temis kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:38:06 +0100,web,,,,,5588,TRUE,any condition,Tag,Equals,temis,,,,0,,,Urban Home - Temis kollekció
466384388396,fliicker,MERGE,Fliicker kollekció,Tekintse meg Fliicker kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:44 +0200,TRUE,2023-12-05 14:38:06 +0100,web,,,,,5589,TRUE,any condition,Tag,Equals,fliicker,,,,0,,,Urban Home - Fliicker kollekció
466384421164,carlyn,MERGE,Carlyn kollekció,Tekintse meg Carlyn kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:44 +0200,TRUE,2023-12-05 14:38:07 +0100,web,,,,,5590,TRUE,any condition,Tag,Equals,carlyn,8896322634028,carlyn-vase,,1,,,Urban Home - Carlyn kollekció
466384453932,imeris,MERGE,Imeris kollekció,Tekintse meg Imeris kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:44 +0200,TRUE,2023-12-05 14:38:11 +0100,web,,,,,5591,TRUE,any condition,Tag,Equals,imeris,8896382042412,imeris-marble-mortar,,2,,,Urban Home - Imeris kollekció
