ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466414829868,nalea,MERGE,Nalea kollekció,Tekintse meg Nalea kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:32 +0200,TRUE,2023-12-05 14:47:31 +0100,web,,,,,7521,TRUE,any condition,Tag,Equals,nalea,8896432111916,nalea-round-rattan-mirror-60-cm,,1,,,Urban Home - Nalea kollekció
466414862636,jullie,MERGE,Jullie kollekció,Tekintse meg Jullie kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:32 +0200,TRUE,2023-12-05 14:47:31 +0100,web,,,,,7522,TRUE,any condition,Tag,Equals,jullie,8896386924844,jullie-set-of-2-bowls-with-silicone-suction-cup,,1,,,Urban Home - Jullie kollekció
466414895404,sita,MERGE,Sita kollekció,Tekintse meg Sita kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:32 +0200,TRUE,2023-12-05 14:47:32 +0100,web,,,,,7523,TRUE,any condition,Tag,Equals,sita,8896482017580,sita-beige-fur-cushion-40-x-60-cm,,2,,,Urban Home - Sita kollekció
466414928172,willemina,MERGE,Willemina kollekció,Tekintse meg Willemina kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:32 +0200,TRUE,2023-12-05 14:47:32 +0100,web,,,,,7525,TRUE,any condition,Tag,Equals,willemina,,,,0,,,Urban Home - Willemina kollekció
466414960940,zunilda,MERGE,Zunilda kollekció,Tekintse meg Zunilda kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:32 +0200,TRUE,2023-12-05 14:47:33 +0100,web,,,,,7526,TRUE,any condition,Tag,Equals,zunilda,,,,0,,,Urban Home - Zunilda kollekció
466414993708,kron,MERGE,Kron kollekció,Tekintse meg Kron kollekciónk összes darabját!,Best Selling,,2025-09-01 00:01:26 +0200,TRUE,2023-12-05 14:47:33 +0100,web,,,,,7527,TRUE,any condition,Tag,Equals,kron,8896391315756,kron-solid-mago-wood-headboard-with-coconut-shell-pieces-for-180-cm-beds,,2,,,Urban Home - Kron kollekció
466415026476,epiphany,MERGE,Epiphany kollekció,Tekintse meg Epiphany kollekciónk összes darabját!,Best Selling,,2025-09-01 00:01:00 +0200,TRUE,2023-12-05 14:47:34 +0100,web,,,,,7529,TRUE,any condition,Tag,Equals,epiphany,8896362971436,epiphany-dummy-and-teething-ring-set-in-beige-silicone-and-wood,,9,,,Urban Home - Epiphany kollekció
466415059244,stork,MERGE,Stork kollekció,Tekintse meg Stork kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:32 +0200,TRUE,2023-12-05 14:47:34 +0100,web,,,,,7538,TRUE,any condition,Tag,Equals,stork,8896484507948,stork-cushion-with-dark-grey-fur-40-x-60-cm,,2,,,Urban Home - Stork kollekció
466415092012,sinai,MERGE,Sinai kollekció,Tekintse meg Sinai kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:32 +0200,TRUE,2023-12-05 14:47:35 +0100,web,,,,,7540,TRUE,any condition,Tag,Equals,sinai,8896481165612,sinai-serving-board-in-wood-and-stone,,1,,,Urban Home - Sinai kollekció
466415124780,enit,MERGE,Enit kollekció,Tekintse meg Enit kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:32 +0200,TRUE,2023-12-05 14:47:35 +0100,web,,,,,7541,TRUE,any condition,Tag,Equals,enit,,,,0,,,Urban Home - Enit kollekció
