ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466375967020,orsen,MERGE,Orsen kollekció,Tekintse meg Orsen kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:31 +0200,TRUE,2023-12-05 14:35:14 +0100,web,,,,,5081,TRUE,any condition,Tag,Equals,orsen,,,,0,,,Urban Home - Orsen kollekció
466375999788,celi,MERGE,Celi kollekció,Tekintse meg Celi kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:31 +0200,TRUE,2023-12-05 14:35:15 +0100,web,,,,,5082,TRUE,any condition,Tag,Equals,celi,,,,0,,,Urban Home - Celi kollekció
466376032556,tishana,MERGE,Tishana kollekció,Tekintse meg Tishana kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:31 +0200,TRUE,2023-12-05 14:35:15 +0100,web,,,,,5083,TRUE,any condition,Tag,Equals,tishana,8896493388076,tishana-rattan-and-white-steel-chair-with-armrests,,4,,,Urban Home - Tishana kollekció
466376065324,maja,MERGE,Maja kollekció,Tekintse meg Maja kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:31 +0200,TRUE,2023-12-05 14:35:16 +0100,web,,,,,5087,TRUE,any condition,Tag,Equals,maja,8896416874796,mast-set-of-2-natural-fibre-baskets,,1,,,Urban Home - Maja kollekció
466376098092,vilma,MERGE,Vilma kollekció,Tekintse meg Vilma kollekciónk összes darabját!,Best Selling,,2025-08-31 23:59:46 +0200,TRUE,2023-12-05 14:35:16 +0100,web,,,,,5088,TRUE,any condition,Tag,Equals,vilma,8896504234284,vilma-round-outdoor-table-made-of-solid-acacia-wood-90-cm-100-fsc,,2,,,Urban Home - Vilma kollekció
466376130860,uya,MERGE,Uya kollekció,Tekintse meg Uya kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:31 +0200,TRUE,2023-12-05 14:35:17 +0100,web,,,,,5090,TRUE,any condition,Tag,Equals,uya,8896498729260,uya-set-of-2-table-runners-with-natural-fibres-and-natural-and-black-finish-335-x-49-cm,,1,,,Urban Home - Uya kollekció
466376163628,dione,MERGE,Dione kollekció,Tekintse meg Dione kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:31 +0200,TRUE,2023-12-05 14:35:17 +0100,web,,,,,5091,TRUE,any condition,Tag,Equals,dione,8896344719660,dione-wall-lamp-black,,3,,,Urban Home - Dione kollekció
466376196396,kaoria,MERGE,Kaoria kollekció,Tekintse meg Kaoria kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:31 +0200,TRUE,2023-12-05 14:35:18 +0100,web,,,,,5094,TRUE,any condition,Tag,Equals,kaoria,,,,0,,,Urban Home - Kaoria kollekció
466376229164,belleny,MERGE,Belleny kollekció,Tekintse meg Belleny kollekciónk összes darabját!,Best Selling,,2025-09-01 00:00:28 +0200,TRUE,2023-12-05 14:35:19 +0100,web,,,,,5095,TRUE,any condition,Tag,Equals,belleny,8896302022956,belleny-armchair-in-beige-cord-and-solid-acacia-wood-100-fsc,,2,,,Urban Home - Belleny kollekció
466376261932,words,MERGE,Words kollekció,Tekintse meg Words kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:31 +0200,TRUE,2023-12-05 14:35:19 +0100,web,,,,,5097,TRUE,any condition,Tag,Equals,words,8896507347244,words-basket-made-from-natural-fibres-with-a-natural-finish,,1,,,Urban Home - Words kollekció
