ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466405294380,severa,MERGE,Severa kollekció,Tekintse meg Severa kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:39 +0100,web,,,,,6906,TRUE,any condition,Tag,Equals,severa,8896477823276,severa-rectangular-serving-board,,1,,,Urban Home - Severa kollekció
466405327148,augustina,MERGE,Augustina kollekció,Tekintse meg Augustina kollekciónk összes darabját!,Best Selling,,2025-09-01 00:09:36 +0200,TRUE,2023-12-05 14:44:39 +0100,web,,,,,6907,TRUE,any condition,Tag,Equals,augustina,8896295895340,augustina-white-cushion-cover-45-x-45-cm,,5,,,Urban Home - Augustina kollekció
466405359916,madina,MERGE,Madina kollekció,Tekintse meg Madina kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:40 +0100,web,,,,,6912,TRUE,any condition,Tag,Equals,madina,8896405766444,madina-light-grey-office-chair,,2,,,Urban Home - Madina kollekció
466405392684,madali,MERGE,Madali kollekció,Tekintse meg Madali kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:40 +0100,web,,,,,6914,TRUE,any condition,Tag,Equals,madali,,,,0,,,Urban Home - Madali kollekció
466405425452,watse,MERGE,Watse kollekció,Tekintse meg Watse kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:41 +0100,web,,,,,6915,TRUE,any condition,Tag,Equals,watse,,,,0,,,Urban Home - Watse kollekció
466405458220,tresa,MERGE,Tresa kollekció,Tekintse meg Tresa kollekciónk összes darabját!,Best Selling,,2025-08-31 23:59:43 +0200,TRUE,2023-12-05 14:44:41 +0100,web,,,,,6916,TRUE,any condition,Tag,Equals,tresa,8896494764332,tresa-4-coasters-set,,4,,,Urban Home - Tresa kollekció
466405490988,thianela,MERGE,Thianela kollekció,Tekintse meg Thianela kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:42 +0100,web,,,,,6920,TRUE,any condition,Tag,Equals,thianela,8896491421996,thianela-large-porcelain-bowl-in-grey,,1,,,Urban Home - Thianela kollekció
466405523756,einara,MERGE,Einara kollekció,Tekintse meg Einara kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:42 +0100,web,,,,,6921,TRUE,any condition,Tag,Equals,einara,8896358809900,einara-light-grey-office-chair,,3,,,Urban Home - Einara kollekció
466405556524,benicarlo,MERGE,Benicarlo kollekció,Tekintse meg Benicarlo kollekciónk összes darabját!,Best Selling,,2025-09-08 13:38:03 +0200,TRUE,2023-12-05 14:44:43 +0100,web,,,,,6924,TRUE,any condition,Tag,Equals,benicarlo,8896302186796,benicarlo-table-lamp-in-wood-with-a-natural-beige-finish,,1,,,Urban Home - Benicarlo kollekció
466405589292,eluana,MERGE,Eluana kollekció,Tekintse meg Eluana kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:45 +0100,web,,,,,6925,TRUE,any condition,Tag,Equals,eluana,,,,0,,,Urban Home - Eluana kollekció
