ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466408571180,marielle,MERGE,Marielle kollekció,Tekintse meg Marielle kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:22 +0200,TRUE,2023-12-05 14:45:40 +0100,web,,,,,7134,TRUE,any condition,Tag,Equals,marielle,8896413729068,marielle-2-door-sideboard-in-ash-wood-veneer-w-white-lacquer-metal-107-x-140-cm,,7,,,Urban Home - Marielle kollekció
466408603948,madsen,MERGE,Madsen kollekció,Tekintse meg Madsen kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:22 +0200,TRUE,2023-12-05 14:45:40 +0100,web,,,,,7141,TRUE,any condition,Tag,Equals,madsen,8896406454572,madsen-terracotta-table-lamp-with-white-shade,,2,,,Urban Home - Madsen kollekció
466408636716,fornells,MERGE,Fornells kollekció,Tekintse meg Fornells kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:22 +0200,TRUE,2023-12-05 14:45:41 +0100,web,,,,,7143,TRUE,any condition,Tag,Equals,fornells,8896370016556,fornells-rug-in-wool-and-cotton-70-x-140-cm,,1,,,Urban Home - Fornells kollekció
466408669484,velia,MERGE,Velia kollekció,Tekintse meg Velia kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:23 +0200,TRUE,2023-12-05 14:45:41 +0100,web,,,,,7144,TRUE,any condition,Tag,Equals,velia,,,,0,,,Urban Home - Velia kollekció
466408702252,domitila,MERGE,Domitila kollekció,Tekintse meg Domitila kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:23 +0200,TRUE,2023-12-05 14:45:42 +0100,web,,,,,7145,TRUE,any condition,Tag,Equals,domitila,8896345375020,domitila-rattan-ceiling-lamp-shade-with-black-painted-finish-44-cm,,2,,,Urban Home - Domitila kollekció
466408735020,nenet,MERGE,Nenet kollekció,Tekintse meg Nenet kollekciónk összes darabját!,Best Selling,,2025-09-01 00:01:55 +0200,TRUE,2023-12-05 14:45:42 +0100,web,,,,,7147,TRUE,any condition,Tag,Equals,nenet,8896436994348,nenet-side-table-60-cm,,2,,,Urban Home - Nenet kollekció
466408767788,gualta,MERGE,Gualta kollekció,Tekintse meg Gualta kollekciónk összes darabját!,Best Selling,,2025-09-01 00:01:09 +0200,TRUE,2023-12-05 14:45:43 +0100,web,,,,,7149,TRUE,any condition,Tag,Equals,gualta,8896378274092,gualta-natural-fiber-ceiling-lamp-in-a-natural-finish-60-cm,,1,,,Urban Home - Gualta kollekció
466408833324,corsa,MERGE,Corsa kollekció,Tekintse meg Corsa kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:23 +0200,TRUE,2023-12-05 14:45:43 +0100,web,,,,,7150,TRUE,any condition,Tag,Equals,corsa,,,,0,,,Urban Home - Corsa kollekció
466408866092,kaili,MERGE,Kaili kollekció,Tekintse meg Kaili kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:23 +0200,TRUE,2023-12-05 14:45:44 +0100,web,,,,,7151,TRUE,any condition,Tag,Equals,kaili,,,,0,,,Urban Home - Kaili kollekció
466408898860,cynara,MERGE,Cynara kollekció,Tekintse meg Cynara kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:23 +0200,TRUE,2023-12-05 14:45:47 +0100,web,,,,,7152,TRUE,any condition,Tag,Equals,cynara,15062178496897,bemutato-termek-cynara-mennyezeti-lampaernyo-100-termeszetes-szalakbol-natur-kivitelben-o-49-cm,,2,,,Urban Home - Cynara kollekció
