ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466410242348,isabellini,MERGE,Isabellini kollekció,Tekintse meg Isabellini kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:25 +0200,TRUE,2023-12-05 14:46:10 +0100,web,,,,,7218,TRUE,any condition,Tag,Equals,isabellini,8896382697772,isabellini-stackable-outdoor-chair-in-light-grey,,1,,,Urban Home - Isabellini kollekció
466410275116,guash,MERGE,Guash kollekció,Tekintse meg Guash kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:25 +0200,TRUE,2023-12-05 14:46:11 +0100,web,,,,,7219,TRUE,any condition,Tag,Equals,guash,8896378536236,guash-ceiling-lamp-shade-in-terracotta-50-cm,,4,,,Urban Home - Guash kollekció
466410307884,manilva,MERGE,Manilva kollekció,Tekintse meg Manilva kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:25 +0200,TRUE,2023-12-05 14:46:11 +0100,web,,,,,7223,TRUE,any condition,Tag,Equals,manilva,8896411205932,manilva-rug-in-wool-and-brown-cotton-200-x-300-cm,,1,,,Urban Home - Manilva kollekció
466410340652,maica,MERGE,Maica kollekció,Tekintse meg Maica kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:25 +0200,TRUE,2023-12-05 14:46:12 +0100,web,,,,,7224,TRUE,any condition,Tag,Equals,maica,,,,0,,,Urban Home - Maica kollekció
466410373420,iria,MERGE,Iria kollekció,Tekintse meg Iria kollekciónk összes darabját!,Best Selling,,2025-09-13 13:34:41 +0200,TRUE,2023-12-05 14:46:12 +0100,web,,,,,7225,TRUE,any condition,Tag,Equals,iria,8896382402860,iria-protective-cover-for-outdoor-chairs-and-armchairs-max-110-x-105-cm,,9,,,Urban Home - Iria kollekció
466410406188,surpika,MERGE,Surpika kollekció,Tekintse meg Surpika kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:25 +0200,TRUE,2023-12-05 14:46:13 +0100,web,,,,,7234,TRUE,any condition,Tag,Equals,surpika,,,,0,,,Urban Home - Surpika kollekció
466410438956,rosella,MERGE,Rosella kollekció,Tekintse meg Rosella kollekciónk összes darabját!,Best Selling,,2025-08-31 23:59:34 +0200,TRUE,2023-12-05 14:46:13 +0100,web,,,,,7235,TRUE,any condition,Tag,Equals,rosella,8896453181740,rosella-wall-lamp-in-natural-raffia,,1,,,Urban Home - Rosella kollekció
466410471724,maddi,MERGE,Maddi kollekció,Tekintse meg Maddi kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:25 +0200,TRUE,2023-12-05 14:46:14 +0100,web,,,,,7236,TRUE,any condition,Tag,Equals,maddi,8896405012780,maddi-multicoloured-rug-100-wool-160-x-230-cm,,1,,,Urban Home - Maddi kollekció
466410504492,uriana,MERGE,Uriana kollekció,Tekintse meg Uriana kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:25 +0200,TRUE,2023-12-05 14:46:14 +0100,web,,,,,7237,TRUE,any condition,Tag,Equals,uriana,8896498270508,uriana-wallpaper-in-white-with-brown-stripe-print-10-x-053-m-fsc-mix-credit,,2,,,Urban Home - Uriana kollekció
466410537260,santana,MERGE,Santana kollekció,Tekintse meg Santana kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:25 +0200,TRUE,2023-12-05 14:46:15 +0100,web,,,,,7239,TRUE,any condition,Tag,Equals,santana,8896506233132,white-santana-ceiling-light-shade-with-white-diffuser-50-cm,,4,,,Urban Home - Santana kollekció
