ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466383831340,hannah,MERGE,Hannah kollekció,Tekintse meg Hannah kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:37:57 +0100,web,,,,,5529,TRUE,any condition,Tag,Equals,hannah,,,,0,,,Urban Home - Hannah kollekció
466383864108,melya,MERGE,Melya kollekció,Tekintse meg Melya kollekciónk összes darabját!,Best Selling,,2025-09-01 00:09:41 +0200,TRUE,2023-12-05 14:37:58 +0100,web,,,,,5530,TRUE,any condition,Tag,Equals,melya,8896423559468,melya-solid-munggur-wood-wall-panel-48-cm,,1,,,Urban Home - Melya kollekció
466383896876,dyla,MERGE,Dyla kollekció,Tekintse meg Dyla kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:37:58 +0100,web,,,,,5531,TRUE,any condition,Tag,Equals,dyla,8896354615596,dyla-headboard-with-removable-cover-in-beige-for-160-cm-beds,,39,,,Urban Home - Dyla kollekció
466383929644,savoy,MERGE,Savoy kollekció,Tekintse meg Savoy kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:37:59 +0100,web,,,,,5570,TRUE,any condition,Tag,Equals,savoy,8896475791660,savoy-mirror,,1,,,Urban Home - Savoy kollekció
466383962412,naunet,MERGE,Naunet kollekció,Tekintse meg Naunet kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:37:59 +0100,web,,,,,5571,TRUE,any condition,Tag,Equals,naunet,8896435093804,naunet-set-of-2-square-place-settings-in-mustard-and-white-with-fruit-details-100-cotton,,1,,,Urban Home - Naunet kollekció
466383995180,viviana,MERGE,Viviana kollekció,Tekintse meg Viviana kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:38:00 +0100,web,,,,,5572,TRUE,any condition,Tag,Equals,viviana,8896504529196,viviana-ratan-mirror-with-a-natural-finish-110-cm,,1,,,Urban Home - Viviana kollekció
466384027948,aurelia,MERGE,Aurelia kollekció,Tekintse meg Aurelia kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:38:00 +0100,web,,,,,5573,TRUE,any condition,Tag,Equals,aurelia,8896295993644,aurelia-table-lamp-in-steel-with-black-finish,,2,,,Urban Home - Aurelia kollekció
466384060716,elenei,MERGE,Elenei kollekció,Tekintse meg Elenei kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:38:01 +0100,web,,,,,5575,TRUE,any condition,Tag,Equals,elenei,8896359989548,elenei-marble-soap-dispenser,,3,,,Urban Home - Elenei kollekció
466384093484,khaleesi,MERGE,Khaleesi kollekció,Tekintse meg Khaleesi kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:38:01 +0100,web,,,,,5578,TRUE,any condition,Tag,Equals,khaleesi,,,,0,,,Urban Home - Khaleesi kollekció
466384126252,seratna,MERGE,Seratna kollekció,Tekintse meg Seratna kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:43 +0200,TRUE,2023-12-05 14:38:02 +0100,web,,,,,5579,TRUE,any condition,Tag,Equals,seratna,8896289145132,antares-red-wood-and-rubber-wood-table-lamp,,1,,,Urban Home - Seratna kollekció
