ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466379899180,aroba,MERGE,Aroba kollekció,Tekintse meg Aroba kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:37 +0200,TRUE,2023-12-05 14:36:42 +0100,web,,,,,5322,TRUE,any condition,Tag,Equals,aroba,8896293732652,aroba-shelving-unit-55-x-132-cm,,1,,,Urban Home - Aroba kollekció
466379931948,nerina,MERGE,Nerina kollekció,Tekintse meg Nerina kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:37 +0200,TRUE,2023-12-05 14:36:43 +0100,web,,,,,5323,TRUE,any condition,Tag,Equals,nerina,8896438501676,nerina-mirror-dark-finish-80-x-180-cm,,4,,,Urban Home - Nerina kollekció
466379964716,brighter,MERGE,Brighter kollekció,Tekintse meg Brighter kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:37 +0200,TRUE,2023-12-05 14:36:43 +0100,web,,,,,5327,TRUE,any condition,Tag,Equals,brighter,,,,0,,,Urban Home - Brighter kollekció
466379997484,guixols,MERGE,Guixols kollekció,Tekintse meg Guixols kollekciónk összes darabját!,Best Selling,,2025-08-31 23:59:22 +0200,TRUE,2023-12-05 14:36:44 +0100,web,,,,,5328,TRUE,any condition,Tag,Equals,guixols,8896378634540,guixols-natural-fiber-magazine-rack-with-a-natural-finish,,1,,,Urban Home - Guixols kollekció
466380030252,dawa,MERGE,Dawa kollekció,Tekintse meg Dawa kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:37 +0200,TRUE,2023-12-05 14:36:44 +0100,web,,,,,5329,TRUE,any condition,Tag,Equals,dawa,8896339378476,dawa-cotton-and-linen-cushion-cover-with-beige-and-white-stripes-45-x-45-cm,,1,,,Urban Home - Dawa kollekció
466380063020,valsa,MERGE,Valsa kollekció,Tekintse meg Valsa kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:37 +0200,TRUE,2023-12-05 14:36:45 +0100,web,,,,,5330,TRUE,any condition,Tag,Equals,valsa,8896499319084,vania-rocking-chair-in-white-fleece,,1,,,Urban Home - Valsa kollekció
466380095788,andrey,MERGE,Andrey kollekció,Tekintse meg Andrey kollekciónk összes darabját!,Best Selling,,2025-09-01 00:05:28 +0200,TRUE,2023-12-05 14:36:46 +0100,web,,,,,5331,TRUE,any condition,Tag,Equals,andrey,8896286097708,andrey-hanger,,1,,,Urban Home - Andrey kollekció
466380128556,wilany,MERGE,Wilany kollekció,Tekintse meg Wilany kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:37 +0200,TRUE,2023-12-05 14:36:46 +0100,web,,,,,5332,TRUE,any condition,Tag,Equals,wilany,8896506495276,wilany-mirror-natural-finish-525-x-1525-cm,,1,,,Urban Home - Wilany kollekció
466380161324,kody,MERGE,Kody kollekció,Tekintse meg Kody kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:37 +0200,TRUE,2023-12-05 14:36:47 +0100,web,,,,,5333,TRUE,any condition,Tag,Equals,kody,8896389415212,kody-armchair-in-fleece-with-solid-beech-wood-legs,,1,,,Urban Home - Kody kollekció
466380194092,neale,MERGE,Neale kollekció,Tekintse meg Neale kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:37 +0200,TRUE,2023-12-05 14:36:47 +0100,web,,,,,5334,TRUE,any condition,Tag,Equals,neale,8896436109612,neale-wooden-photo-frame-with-natural-finish-42-x-56-cm,,5,,,Urban Home - Neale kollekció
