ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466188140844,furdoszobai-lampak,MERGE,Fürdőszobai lámpák,<p>Tekintse meg széles fürdőszobai lámpa választékunkat!</p>,Best Selling,,2025-08-16 11:05:26 +0200,TRUE,2023-12-01 13:49:37 +0100,web,,,,,3081,TRUE,any condition,Tag,Equals,Fürdőszobai lámpák,8896507838764,xaviera-light-fixture-with-black-finish,,1,Urban Home - Fürdőszobai lámpák,Tekintse meg széles fürdőszobai lámpa választékunkat!,
466188173612,gyerekbutorok,MERGE,Gyerekbútorok,<p>Tekintse meg széles gyerekbútor választékunkat!</p>,Best Selling,,2025-09-06 13:33:50 +0200,TRUE,2023-12-01 13:49:37 +0100,web,,,,,3082,TRUE,any condition,Tag,Equals,Gyerekbútorok,9654007824684,ciral-mennyezeti-lampabura-sarga-es-feher-csikokkal-o-40-cm,,68,Urban Home - Gyerekbútorok,Tekintse meg széles gyerekbútor választékunkat!,
466188239148,asztali-lampak,MERGE,Asztali lámpák,<p>Tekintse meg széles asztali lámpa választékunkat!</p>,Best Selling,,2025-09-08 16:15:25 +0200,TRUE,2023-12-01 13:50:18 +0100,web,,,,,3150,TRUE,any condition,Tag,Equals,Asztali lámpák,8896400589100,lonela-table-lamp-in-marble-with-green-finish,,101,Urban Home - Asztali lámpák,Tekintse meg széles asztali lámpa választékunkat!,
466188271916,fali-lampak,MERGE,Fali lámpák,<p>Tekintse meg széles fali lámpa választékunkat!</p>,Best Selling,,2025-09-13 13:27:08 +0200,TRUE,2023-12-01 13:50:19 +0100,web,,,,,3251,TRUE,any condition,Tag,Equals,Fali lámpák,8896499220780,valquiria-metal-wall-sconce-with-black-finish,,38,Urban Home - Fali lámpák,Tekintse meg széles fali lámpa választékunkat!,
466188304684,hordozhato-lampak,MERGE,Hordozható lámpák,<p>Tekintse meg széles hordozható lámpa választékunkat!</p>,Best Selling,,2025-09-01 13:42:42 +0200,TRUE,2023-12-01 13:50:19 +0100,web,,,,,3289,TRUE,any condition,Tag,Equals,Hordozható lámpák,9121226522924,arenys-kis-kulteri-fem-asztali-lampa-zold-festett-befejezessel,,14,Urban Home - Hordozható lámpák,Tekintse meg széles hordozható lámpa választékunkat!,
466188337452,izzok,MERGE,Izzók,<p>Tekintse meg széles izzó választékunkat!</p>,Best Selling,,2025-08-18 13:33:01 +0200,TRUE,2023-12-01 13:50:20 +0100,web,,,,,3303,TRUE,any condition,Tag,Equals,Izzók,8896393969964,led-e27-4w-80-mm-warm-light-bulb,,9,Urban Home - Izzók,Tekintse meg széles izzó választékunkat!,
466188370220,mennyezeti-lampak,MERGE,Mennyezeti lámpák,<p>Tekintse meg széles mennyezeti lámpa választékunkat!</p>,Best Selling,,2025-09-11 13:41:29 +0200,TRUE,2023-12-01 13:50:21 +0100,web,,,,,3312,TRUE,any condition,Tag,Equals,Mennyezeti lámpák,8896368247084,fitting-for-fulvia-metal-ceiling-light-with-black-finish,,59,Urban Home - Mennyezeti lámpák,Tekintse meg széles mennyezeti lámpa választékunkat!,
466188402988,agyak,MERGE,Ágyak,<p>Tekintse meg széles ágy választékunkat!</p>,Best Selling,,2025-09-11 13:41:29 +0200,TRUE,2023-12-01 13:50:21 +0100,web,,,,,3371,TRUE,any condition,Tag,Equals,Ágyak,9614544404780,talo-agyalap-160-x-200-cm,,108,Urban Home - Ágyak,Tekintse meg széles ágy választékunkat!,
466188435756,matracok-es-matracvedok-srsltid-afmbooov4tuy1jq5ayuoj9zgh2t9trq33l29uzzlbshunyox1lk5ea3p,MERGE,Matracok és matracvédők,<p>Tekintse meg széles matrac és matracvédő választékunkat!</p>,Best Selling,,2025-09-10 13:39:07 +0200,TRUE,2023-12-01 13:50:22 +0100,web,,,,,3479,TRUE,any condition,Tag,Equals,Matracok és matracvédők,9118520377644,martina-agy-levalaszthato-kremszinu-boucle-huzattal-180-x-200-cm-es-matracra,,37,Urban Home - Matracok és matracvédők,Tekintse meg széles matrac és matracvédő választékunkat!,
466188468524,fejtamlak,MERGE,Fejtámlák,<p>Tekintse meg széles fejtámla választékunkat!</p>,Best Selling,,2025-09-01 00:06:19 +0200,TRUE,2023-12-01 13:50:22 +0100,web,,,,,3516,TRUE,any condition,Tag,Equals,Fejtámlák,8896354615596,dyla-headboard-with-removable-cover-in-beige-for-160-cm-beds,,54,Urban Home - Fejtámlák,Tekintse meg széles fejtámla választékunkat!,
