ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466392121644,grignoon,MERGE,Grignoon kollekció,Tekintse meg Grignoon kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:56 +0200,TRUE,2023-12-05 14:40:44 +0100,web,,,,,6043,TRUE,any condition,Tag,Equals,grignoon,8896378241324,grignoon-chair-made-from-solid-acacia-wood-and-woven-wicker-fsc-100,,1,,,Urban Home - Grignoon kollekció
466392154412,bigahel,MERGE,Bigahel kollekció,Tekintse meg Bigahel kollekciónk összes darabját!,Best Selling,,2025-09-01 00:09:36 +0200,TRUE,2023-12-05 14:40:44 +0100,web,,,,,6044,TRUE,any condition,Tag,Equals,bigahel,8896304841004,bigahel-cushion-cover-100-cotton-with-beige-and-white-squares-45-x-45-cm,,1,,,Urban Home - Bigahel kollekció
466392187180,bunola,MERGE,Bunola kollekció,Tekintse meg Bunola kollekciónk összes darabját!,Best Selling,,2025-09-01 00:05:39 +0200,TRUE,2023-12-05 14:40:45 +0100,web,,,,,6045,TRUE,any condition,Tag,Equals,bunola,8896317980972,bunola-bed-for-pets-made-of-ash-plywood-and-cushion-in-grey-fur-70-cm,,1,,,Urban Home - Bunola kollekció
466392219948,iconic,MERGE,Iconic kollekció,Tekintse meg Iconic kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:56 +0200,TRUE,2023-12-05 14:40:45 +0100,web,,,,,6046,TRUE,any condition,Tag,Equals,iconic,8896381681964,iconic-picture-50-x-120-cm,,1,,,Urban Home - Iconic kollekció
466392252716,adara,MERGE,Adara kollekció,Tekintse meg Adara kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:56 +0200,TRUE,2023-12-05 14:40:46 +0100,web,,,,,6047,TRUE,any condition,Tag,Equals,adara,8896272793900,adara-white-fleece-moses-basket-with-solid-beech-legs-69-x-46-cm,,1,,,Urban Home - Adara kollekció
466392285484,yvette,MERGE,Yvette kollekció,Tekintse meg Yvette kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:56 +0200,TRUE,2023-12-05 14:40:46 +0100,web,,,,,6048,TRUE,any condition,Tag,Equals,yvette,8896324796716,chair-synthetic-leather-yvette-brown,,6,,,Urban Home - Yvette kollekció
466392318252,draupadi,MERGE,Draupadi kollekció,Tekintse meg Draupadi kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:56 +0200,TRUE,2023-12-05 14:40:47 +0100,web,,,,,6054,TRUE,any condition,Tag,Equals,draupadi,8896347046188,draupadi-cushion-cover-100-linen-in-brown-45-x-45-cm,,1,,,Urban Home - Draupadi kollekció
466392351020,dumbi,MERGE,Dumbi kollekció,Tekintse meg Dumbi kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:56 +0200,TRUE,2023-12-05 14:40:48 +0100,web,,,,,6055,TRUE,any condition,Tag,Equals,dumbi,8896347603244,dumbi-set-of-2-pet-food-and-water-bowls-with-support-in-white-and-brown-14-cm,,2,,,Urban Home - Dumbi kollekció
466392383788,rohan,MERGE,Rohan kollekció,Tekintse meg Rohan kollekciónk összes darabját!,Best Selling,,2025-09-01 00:09:46 +0200,TRUE,2023-12-05 14:40:48 +0100,web,,,,,6057,TRUE,any condition,Tag,Equals,rohan,8896452460844,rohan-brown-glass-oil-bottle,,5,,,Urban Home - Rohan kollekció
466392416556,bernardine,MERGE,Bernardine kollekció,Tekintse meg Bernardine kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:56 +0200,TRUE,2023-12-05 14:40:50 +0100,web,,,,,6062,TRUE,any condition,Tag,Equals,bernardine,,,,0,,,Urban Home - Bernardine kollekció
