ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466389795116,kathryn,MERGE,Kathryn kollekció,Tekintse meg Kathryn kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:51 +0200,TRUE,2023-12-05 14:40:03 +0100,web,,,,,5906,TRUE,any condition,Tag,Equals,kathryn,8896388038956,kathryn-armchair,,1,,,Urban Home - Kathryn kollekció
466389827884,cerisa,MERGE,Cerisa kollekció,Tekintse meg Cerisa kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:51 +0200,TRUE,2023-12-05 14:40:05 +0100,web,,,,,5907,TRUE,any condition,Tag,Equals,cerisa,8896324600108,cerisa-black-ceramic-soap-dish-with-white-detail,,1,,,Urban Home - Cerisa kollekció
466389893420,angelo,MERGE,Angelo kollekció,Tekintse meg Angelo kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:52 +0200,TRUE,2023-12-05 14:40:06 +0100,web,,,,,5908,TRUE,any condition,Tag,Equals,angelo,8896329449772,coat-rack-angelo-76-x-191-cm,,1,,,Urban Home - Angelo kollekció
466389926188,tamanne,MERGE,Tamanne kollekció,Tekintse meg Tamanne kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:52 +0200,TRUE,2023-12-05 14:40:07 +0100,web,,,,,5909,TRUE,any condition,Tag,Equals,tamanne,8896487784748,tamanne-100-linen-round-cushion-cover-in-white-45-cm,,2,,,Urban Home - Tamanne kollekció
466389860652,taiana,MERGE,Taiana kollekció,Tekintse meg Taiana kollekciónk összes darabját!,Best Selling,,2025-09-04 13:37:15 +0200,TRUE,2023-12-05 14:40:06 +0100,web,,,,,5911,TRUE,any condition,Tag,Equals,taiana,8896486080812,taiana-oak-wood-veneer-bed-with-steel-legs-in-a-black-finish-160-x-200-cm,,9,,,Urban Home - Taiana kollekció
466389958956,zeva,MERGE,Zeva kollekció,Tekintse meg Zeva kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:52 +0200,TRUE,2023-12-05 14:40:07 +0100,web,,,,,5920,TRUE,any condition,Tag,Equals,zeva,8896526483756,zeva-chair-brown,,1,,,Urban Home - Zeva kollekció
466389991724,berdolina,MERGE,Berdolina kollekció,Tekintse meg Berdolina kollekciónk összes darabját!,Best Selling,,2025-09-01 00:00:30 +0200,TRUE,2023-12-05 14:40:08 +0100,web,,,,,5921,TRUE,any condition,Tag,Equals,berdolina,8896302711084,berdolina-brown-ceramic-soap-dish,,1,,,Urban Home - Berdolina kollekció
466390024492,martina,MERGE,Martina kollekció,Tekintse meg Martina kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:52 +0200,TRUE,2023-12-05 14:40:08 +0100,web,,,,,5922,TRUE,any condition,Tag,Equals,martina,9615657632044,ekru-szinu-modularis-4-szemelyes-martina-kanape-baloldali-chaise-longue-resszel-377-cm,,8,,,Urban Home - Martina kollekció
466390057260,ginebra,MERGE,Ginebra kollekció,Tekintse meg Ginebra kollekciónk összes darabját!,Best Selling,,2025-09-13 13:27:08 +0200,TRUE,2023-12-05 14:40:09 +0100,web,,,,,5930,TRUE,any condition,Tag,Equals,ginebra,8896375947564,ginebra-wall-lamp-in-black,,2,,,Urban Home - Ginebra kollekció
466390090028,ziza,MERGE,Ziza kollekció,Tekintse meg Ziza kollekciónk összes darabját!,Best Selling,,2025-08-16 11:05:52 +0200,TRUE,2023-12-05 14:40:09 +0100,web,,,,,5932,TRUE,any condition,Tag,Equals,ziza,8896528154924,ziza-100-cotton-cushion-cover-with-wide-blue-and-white-stripes-60-x-60-cm,,1,,,Urban Home - Ziza kollekció
